"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R58","0603_2","-6.5447mm","84.7323mm","-6.5447mm","84.7323mm","-7.3047mm","84.7323mm","T","360.00","100K"
"Fid3","Fid_Airo","31.5mm","57.5mm","31.5mm","57.5mm","31.5mm","57.5mm","T","90.00","Fiducial"
"Fid2","Fid_Airo","-78mm","80mm","-78mm","80mm","-78mm","80mm","T","90.00","Fiducial"
"Fid1","Fid_Airo","-78mm","97.5mm","-78mm","97.5mm","-78mm","97.5mm","T","0.00","Fiducial"
"R21","0603-P","12.3mm","57.7mm","12.3mm","57.7mm","11.55mm","57.7mm","T","360.00","4.7k"
"U1","SIM900","35.5mm","84.7mm","35.5mm","84.7mm","43.5mm","72.7mm","B","90.00","SIM900"
"U3","RHA(S-PVQFN-N40)","0mm","59.2463mm","0mm","59.2463mm","-2.975mm","61.4963mm","T","360.00","MSP430G2955IRHA40R"
"R6","0603_2","10.8005mm","73.1064mm","10.8005mm","73.1064mm","10.0405mm","73.1064mm","T","360.00","10K"
"R32","R0402_IPC","17mm","71.15mm","17mm","71.15mm","16.425mm","71.15mm","B","360.00","22"
"R31","R0402_IPC","17mm","72.65mm","17mm","72.65mm","16.425mm","72.65mm","B","360.00","22"
"R33","0603_2","1.7846mm","81.4463mm","1.7846mm","81.4463mm","1.7846mm","82.2064mm","T","270.00","10K"
"C1","C0402_IPC","30mm","70.7144mm","30mm","70.7144mm","29.35mm","70.7144mm","B","360.00","0.1uF"
"C2","C0402_IPC","6.8605mm","79.2479mm","6.8605mm","79.2479mm","6.2105mm","79.2479mm","T","360.00","0.1uF"
"C3","C0402_IPC","20.825mm","89.2mm","20.825mm","89.2mm","20.175mm","89.2mm","B","360.00","22pF"
"C4","C0402_IPC","8.3mm","86mm","8.3mm","86mm","8.95mm","86mm","T","180.00","0.1uF"
"C5","0603","21.25mm","83.9mm","21.25mm","83.9mm","21.25mm","83.1mm","B","90.00","4.7uF"
"C6","C1206","41.2mm","90.9mm","41.2mm","90.9mm","41.2mm","92.6mm","T","270.00","100uF"
"C7","C1206","43.6mm","90.9mm","43.6mm","90.9mm","43.6mm","92.6mm","T","270.00","100uF"
"C8","C1206","46mm","90.9mm","46mm","90.9mm","46mm","92.6mm","T","270.00","100uF"
"C9","0805","48.6mm","90.8mm","48.6mm","90.8mm","48.6mm","91.8mm","T","270.00","47uF"
"C10","C0402_IPC","49.5mm","90.1mm","49.5mm","90.1mm","49.5mm","89.45mm","B","90.00","0.1uF"
"C12","0603_3","-2.2996mm","65.3998mm","-2.3mm","65.4mm","-3.0996mm","65.3998mm","T","360.00","10uF"
"C13","C0402_IPC","-1mm","54.9mm","-1mm","54.9mm","-0.35mm","54.9mm","T","180.00","0.1uF"
"C14","C1206","-29.4mm","92.8mm","-29.4mm","92.8mm","-29.4mm","94.5mm","T","270.00","100uF"
"C15","C1206","-27mm","92.8mm","-27mm","92.8mm","-27mm","94.5mm","T","270.00","100uF"
"C16","C1206","-24.6mm","92.8mm","-24.6mm","92.8mm","-24.6mm","94.5mm","T","270.00","100uF"
"C17","0805","-20.9mm","92.8mm","-20.9mm","92.8mm","-20.9mm","93.8mm","T","270.00","47uF"
"C18","C0402_IPC","-18.7mm","92.5mm","-18.7mm","92.5mm","-18.7mm","91.85mm","T","90.00","0.1uF"
"C19","C1206","-10.3mm","94.6mm","-10.3mm","94.6mm","-10.3mm","96.3mm","T","270.00","100uF"
"C20","C1206","-8mm","94.6mm","-8mm","94.6mm","-8mm","96.3mm","T","270.00","100uF"
"C21","C1206","-5.7mm","94.6mm","-5.7mm","94.6mm","-5.7mm","96.3mm","T","270.00","100uF"
"C22","0805","-1.8mm","94.4mm","-1.8mm","94.4mm","-1.8mm","95.4mm","T","270.00","47uF"
"C23","C0402_IPC","0.4mm","94.4mm","0.4mm","94.4mm","0.4mm","93.75mm","T","90.00","0.1uF"
"C24","C0402_IPC","-7.5259mm","60.2507mm","-7.5259mm","60.2507mm","-7.5259mm","60.9007mm","T","270.00","9pF"
"C25","C0402_IPC","-6.8867mm","63.345mm","-6.8867mm","63.345mm","-7.5367mm","63.345mm","T","360.00","9pF"
"C26","C0402_IPC","-10.553mm","90.397mm","-10.553mm","90.397mm","-10.553mm","91.047mm","T","270.00","3.9pF"
"C27","C0402_IPC","-12.0892mm","89.6526mm","-12.0892mm","89.6526mm","-12.0892mm","90.3026mm","T","270.00","0.1uF"
"C28","0603","16.33mm","62.808mm","16.33mm","62.808mm","16.33mm","62.008mm","T","90.00","2.2uF"
"C29","CC0603","23.03mm","62.808mm","23.03mm","62.808mm","23.03mm","62.008mm","T","90.00","1.0uF"
"D2","LED_90DEG_SMT","-78.9mm","73.5605mm","-78.9mm","72.1mm","-78.9mm","75.529mm","B","90.00","LED 90 DEG SMT"
"D3","SOT-363","12.63mm","83.8mm","12.63mm","83.8mm","11.98mm","82.85mm","T","90.00","SMF05C"
"FB1","FB0805","38mm","89.4mm","38mm","89.4mm","36.825mm","89.4mm","T","0.00","BLM21PG221SN1D"
"J1","HDR_8_POS_RA_100_PITCH","-17.8963mm","68.4861mm","-20.3663mm","69.3111mm","-26.7863mm","66.1361mm","B","360.00","TSM-108-01-L-SH-LC"
"J2","MM8430-2610","52.2mm","84.7mm","52.2mm","84.7mm","51.2mm","86.2mm","B","270.00","RF uWAVE COAX"
"J3","MicroSIM","11.577mm","94.827mm","11.577mm","94.827mm","14.117mm","101.112mm","T","90.00","6 POS MICRO SIM"
"J4","B2B-EH-A","-36.29mm","97.9mm","-37.54mm","97.9mm","-37.54mm","97.9mm","T","0.00","B2B-EH-A(LF)(SN)"
"L1","0402-5","70.8mm","83.9mm","70.8mm","83.9mm","70.8mm","83.3996mm","B","90.00","2nH"
"L4","IND_5.2x5.7","-15.4mm","96.9mm","-15.4mm","96.9mm","-17.65mm","96.9mm","T","360.00","1uH"
"Q1","SOT23-3_DIODES","42.5mm","67.8mm","42.5mm","67.8mm","41.5mm","66.85mm","B","90.00","MMBT3904LT1G"
"Q2","SOT23-3_DIODES","-73.1mm","62.9mm","-73.1mm","62.9mm","-72.1mm","63.85mm","B","270.00","MMBT3904LT1G"
"Q3","SOT23-3_DIODES","-73.1mm","71.6mm","-73.1mm","71.6mm","-72.1mm","72.55mm","B","270.00","MMBT3904LT1G"
"R2","0603_2","-5.2626mm","74.2955mm","-5.2626mm","74.2955mm","-4.5026mm","74.2955mm","T","180.00","10K"
"R3","0603_2","-5.2626mm","75.9955mm","-5.2626mm","75.9955mm","-4.5026mm","75.9955mm","T","180.00","10K"
"R4","0603_2","-5.2626mm","77.6955mm","-5.2626mm","77.6955mm","-4.5026mm","77.6955mm","T","180.00","10K"
"R5","0603_2","-5.2724mm","79.5663mm","-5.2724mm","79.5663mm","-4.5124mm","79.5663mm","T","180.00","10K"
"R7","0603_2","10.8005mm","74.8064mm","10.8005mm","74.8064mm","10.0405mm","74.8064mm","T","360.00","10K"
"R8","R0402_IPC","72.8mm","84.7mm","72.8mm","84.7mm","72.225mm","84.7mm","B","360.00","0"
"R9","R0402_IPC","17mm","74.15mm","17mm","74.15mm","16.425mm","74.15mm","B","360.00","22"
"R10","0603-P","10.5mm","81.2mm","10.5mm","81.2mm","10.5mm","80.45mm","B","90.00","1k"
"R12","R0402_IPC","17mm","69.65mm","17mm","69.65mm","16.425mm","69.65mm","B","360.00","22"
"R13","0603_2","12.7mm","81.2mm","12.7mm","81.2mm","12.7mm","81.96mm","B","270.00","10K"
"R14","R0402_IPC","17mm","75.6596mm","17mm","75.6596mm","16.425mm","75.6596mm","B","360.00","22"
"R15","R0402_IPC","17mm","77.1596mm","17mm","77.1596mm","16.425mm","77.1596mm","B","360.00","22"
"R16","R0402_IPC","20.6381mm","87.6938mm","20.6381mm","87.6938mm","21.2131mm","87.6938mm","B","180.00","22"
"R17","R0402_IPC","20.8mm","90.8mm","20.8mm","90.8mm","21.375mm","90.8mm","B","180.00","22"
"R18","R0402_IPC","20.8mm","92.3mm","20.8mm","92.3mm","21.375mm","92.3mm","B","180.00","22"
"R19","0603_2","-24.9947mm","63.0828mm","-24.9947mm","63.0828mm","-24.2347mm","63.0828mm","B","180.00","10K"
"R1","0603_2","10.8034mm","69.5088mm","10.8034mm","69.5088mm","10.0434mm","69.5088mm","T","360.00","10K"
"R22","R0402_IPC","-5.3mm","90.3mm","-5.3mm","90.3mm","-5.3mm","89.725mm","T","90.00","61.9k"
"R23","0603_2","-18.1615mm","88.2033mm","-18.1615mm","88.2033mm","-18.9215mm","88.2033mm","T","360.00","100K"
"R24","0603_2","-21.3343mm","88.2045mm","-21.3343mm","88.2045mm","-20.5743mm","88.2045mm","T","180.00","100K"
"R25","0603_2","-9mm","90.1mm","-9mm","90.1mm","-9mm","89.34mm","T","90.00","200K"
"R26","0603_2","19.63mm","61.708mm","19.63mm","61.708mm","18.87mm","61.708mm","T","360.00","0 Ohm"
"R27","0603-P","-74.3mm","66.7mm","-74.3mm","66.7mm","-75.05mm","66.7mm","B","360.00","1k"
"R28","0603-P","-74.3mm","75.4mm","-74.3mm","75.4mm","-75.05mm","75.4mm","B","360.00","1k"
"R29","0603-P","-68.5mm","63.8mm","-68.5mm","63.8mm","-67.75mm","63.8mm","B","180.00","4.7k"
"R30","0603-P","-68.5mm","72.5mm","-68.5mm","72.5mm","-67.75mm","72.5mm","B","180.00","4.7k"
"SW1","Momentary_Switch_Right_Angle","-45.6mm","96.4mm","-45.6mm","96.4mm","-43.35mm","97.65mm","T","180.00","SWITCH* MOM 90 DEG"
"U2","TSSOP14","1.66mm","76.5479mm","1.66mm","76.5479mm","-1.24mm","78.4979mm","T","270.00","SN74LVC07A"
"U4","VSON14","-15.4mm","91.5mm","-15.4mm","91.5mm","-14mm","90mm","T","180.00","TPS63020"
"U6","SOT-23-5","19.58mm","64.558mm","20.93mm","63.608mm","20.93mm","63.608mm","T","180.00","TPS70930DBVR"
"D1","LED_90DEG_SMT","-78.9mm","64.8605mm","-78.9mm","63.4mm","-78.9mm","66.829mm","B","90.00","LED 90 DEG SMT"
"ANT1","PA25A","78.05mm","80.95mm","78.05mm","80.95mm","77.2mm","84.65mm","B","90.00","ANT* PA25A GSM"
"U5","MLF4_Micrel","-32.7mm","86.6mm","-32.7mm","86.6mm","-32.95mm","87.3mm","B","360.00","MIC5302-1.8YMT TR"
"X1","ABS07","-5.7mm","60.8mm","-5.7mm","60.8mm","-5.7mm","59.55mm","T","90.00","32.768kHz"
"C31","CC0603","-35mm","86.7mm","-35mm","86.7mm","-35mm","87.5mm","B","270.00","1.0uF"
"C30","CC0603","-30.4mm","86.7mm","-30.4mm","86.7mm","-30.4mm","87.5mm","B","270.00","1.0uF"
"R34","0603_2","-33mm","89.9mm","-33mm","89.9mm","-33mm","89.14mm","B","90.00","100K"
"L2","0402-5","74.8mm","83.9mm","74.8mm","83.9mm","74.8mm","83.3996mm","B","90.00","2nH"
"R11","0603_6","-7.1mm","90.1mm","-7.1mm","90.1mm","-7.1mm","90.85mm","T","270.00","1.33M"
"R20","0603-P","12.3mm","59.4mm","12.3mm","59.4mm","11.55mm","59.4mm","T","360.00","4.7k"
"R35","0603_2","40.8mm","64.4mm","40.8mm","64.4mm","40.04mm","64.4mm","B","360.00","100K"
"C38","0603_3","34.0996mm","67.2002mm","34.1mm","67.2mm","34.8996mm","67.2002mm","T","180.00","10uF"
"C39","C0402_IPC","33.8mm","65.6mm","33.8mm","65.6mm","33.15mm","65.6mm","T","360.00","0.1uF"
"R42","0603_2","1.3681mm","90.3068mm","1.3681mm","90.3068mm","0.6081mm","90.3068mm","T","360.00","100K"
"R43","0603_2","1.4131mm","88.4635mm","1.4131mm","88.4635mm","2.1731mm","88.4635mm","T","180.00","100K"
"U9","HTU20D","33.3mm","62.85mm","33.3mm","62.85mm","32.3mm","61.5mm","T","90.00","HPP845E034R5"
"C11","C0402_IPC","-2.2996mm","63.6897mm","-2.2996mm","63.6897mm","-1.6496mm","63.6897mm","T","180.00","0.1uF"
"ANT2","CGGBP.18.4.A.02","-41.7mm","75.6mm","-41.7mm","73.8mm","-41.7mm","75.6mm","T","180.00","CGGBP.18.4.A.02"
"C32","0603_3","-44.9666mm","90.546mm","-44.9668mm","90.5464mm","-44.9666mm","91.346mm","B","270.00","10uF"
"C33","C0402_IPC","-42.4814mm","90.3801mm","-42.4814mm","90.3801mm","-42.4814mm","89.7301mm","B","90.00","0.1uF"
"C34","C0402_IPC","-5.46mm","83.8414mm","-5.46mm","83.8414mm","-5.46mm","84.4914mm","B","270.00","0.1uF"
"C35","C0402_IPC","-5.4472mm","81.1985mm","-5.4472mm","81.1985mm","-5.4472mm","81.8485mm","B","270.00","0.1uF"
"C36","C0603_IPC","-48.1133mm","75.4569mm","-48.1133mm","75.4569mm","-48.9633mm","75.4569mm","B","360.00","0.33uF"
"C37","C0402_IPC","7.1559mm","65.1808mm","7.1559mm","65.1808mm","6.5059mm","65.1808mm","T","360.00","0.1uF"
"C40","C0402_IPC","15.24mm","58.5685mm","15.24mm","58.5685mm","14.59mm","58.5685mm","T","360.00","0.1uF"
"M1","SOT723","-0.4429mm","82.8051mm","-0.4429mm","82.8051mm","0.0571mm","83.2051mm","B","270.00","NTK3134N"
"M2","SOT23-6_DIODE","-0.3924mm","51.4552mm","-0.3924mm","51.4552mm","-1.3424mm","52.5552mm","B","360.00","DMC2038LVT-7"
"R36","0603_2","-20.8513mm","56.9387mm","-20.8513mm","56.9387mm","-20.0913mm","56.9387mm","B","180.00","0 Ohm"
"R37","0603_2","-23.0654mm","59.1985mm","-23.0654mm","59.1985mm","-22.3054mm","59.1985mm","B","180.00","0 Ohm"
"R38","0603_2","3.2754mm","65.1801mm","3.2754mm","65.1801mm","4.0354mm","65.1801mm","T","180.00","10K"
"R39","0603_2","-2.8249mm","83.2084mm","-2.8249mm","83.2084mm","-2.0649mm","83.2084mm","T","180.00","100K"
"R40","0603_2","-49.5628mm","89.1067mm","-49.5628mm","89.1067mm","-50.3228mm","89.1067mm","B","360.00","10K"
"R41","0603_2","-56.8036mm","86.9886mm","-56.8036mm","86.9886mm","-56.8036mm","87.7486mm","B","270.00","10K"
"R44","0603_2","-54.5889mm","88.8272mm","-54.5889mm","88.8272mm","-54.5889mm","89.5872mm","B","270.00","10K"
"R45","0603_2","-40.1264mm","83.3512mm","-40.1264mm","83.3512mm","-40.1264mm","84.1112mm","B","270.00","0 Ohm"
"R46","0603_2","-38.2313mm","80.7649mm","-38.2313mm","80.7649mm","-37.4712mm","80.7649mm","B","180.00","0 Ohm"
"R47","0603_2","-32.5456mm","65.7066mm","-32.5456mm","65.7066mm","-32.5456mm","66.4666mm","B","270.00","0 Ohm"
"R48","0603_2","-51.9577mm","74.3165mm","-51.9577mm","74.3165mm","-51.1977mm","74.3165mm","B","180.00","100K"
"R49","0603_2","-54.3394mm","78.0477mm","-54.3394mm","78.0477mm","-54.3394mm","78.8077mm","B","270.00","100K"
"R50","0603_2","-56.7896mm","83.7431mm","-56.7896mm","83.7431mm","-56.7896mm","84.5031mm","B","270.00","10K"
"R51","0603_2","-54.5889mm","85.4843mm","-54.5889mm","85.4843mm","-54.5889mm","86.2442mm","B","270.00","10K"
"R52","0603_2","6.3686mm","59.5028mm","6.3686mm","59.5028mm","7.1286mm","59.5028mm","T","180.00","100K"
"R53","0603_2","3.1844mm","52.8309mm","3.1844mm","52.8309mm","3.9444mm","52.8309mm","B","180.00","10K"
"R54","R0402_IPC","1.9921mm","53.3964mm","1.9921mm","53.3964mm","1.4171mm","53.3964mm","T","360.00","8.45k"
"R55","0603_2","-1.4092mm","52.8445mm","-1.4092mm","52.8445mm","-0.6492mm","52.8445mm","T","180.00","100K"
"R56","0603_2","4.8106mm","65.946mm","4.8106mm","65.946mm","4.8106mm","66.706mm","B","270.00","0 Ohm"
"R57","0603_2","9.4836mm","65.9816mm","9.4836mm","65.9816mm","9.4836mm","66.7416mm","B","270.00","0 Ohm"
"R59","0603_2","8.2377mm","69.593mm","8.2377mm","69.593mm","7.4777mm","69.593mm","B","360.00","100K"
"R60","0603_2","6.0685mm","63.165mm","6.0685mm","63.165mm","5.3085mm","63.165mm","T","360.00","100K"
"RT1","R0402_IPC","0mm","43.18mm","0mm","43.18mm","0.575mm","43.18mm","T","180.00","NTCG103JF103FT1"
"U7","xE868","-46.8313mm","82.4888mm","-46.8313mm","82.4888mm","-42.1313mm","85.9888mm","B","180.00","J-F2-B3E9"
"U8","vssop-8","-3.4322mm","83.3659mm","-3.4322mm","83.3659mm","-4.1822mm","84.9159mm","B","360.00","74LVCH2T45DC,125"
"U10","QFN10","7.1558mm","65.9809mm","7.1558mm","65.9809mm","6.4058mm","66.5409mm","B","360.00","FSA2258L10X"
"C41","C0201","1.9691mm","54.5442mm","1.9691mm","54.5442mm","2.3691mm","54.5442mm","T","180.00","10000pF"
"R61","0603_2","-2.9324mm","46.377mm","-2.9324mm","46.377mm","-2.9324mm","45.617mm","T","90.00","0 Ohm"
"C42","C0201","2.6833mm","84.6698mm","2.6833mm","84.6698mm","3.0833mm","84.6698mm","T","180.00","10000pF"
"R62","0603_2","3.0459mm","46.377mm","3.0459mm","46.377mm","3.0459mm","45.617mm","T","90.00","0 Ohm"

